project,stacklayer,count,total,percent,pct_ci_low,pct_ci_high
NVIDIA/cuda-quantum,Backend-Library,28,159,17.6,12.5,24.3
NVIDIA/cuda-quantum,Build/Deploy/Environment,15,159,9.4,5.8,15.0
NVIDIA/cuda-quantum,Framework-Integration,56,159,35.2,28.2,42.9
NVIDIA/cuda-quantum,High-Level-API / Framework-Logic,45,159,28.3,21.9,35.8
NVIDIA/cuda-quantum,Runtime-/Framework-Runtime,15,159,9.4,5.8,15.0
Qiskit/qiskit-aer,Backend-Library,6,37,16.2,7.7,31.1
Qiskit/qiskit-aer,Build/Deploy/Environment,18,37,48.6,33.4,64.1
Qiskit/qiskit-aer,Framework-Integration,5,37,13.5,5.9,28.0
Qiskit/qiskit-aer,High-Level-API / Framework-Logic,5,37,13.5,5.9,28.0
Qiskit/qiskit-aer,Runtime-/Framework-Runtime,3,37,8.1,2.8,21.3
