stacklayer,A,B,C,project
Backend-Library,1,6,21,NVIDIA/cuda-quantum
Build/Deploy/Environment,1,8,6,NVIDIA/cuda-quantum
Framework-Integration,0,6,50,NVIDIA/cuda-quantum
High-Level-API / Framework-Logic,9,7,29,NVIDIA/cuda-quantum
Runtime-/Framework-Runtime,0,0,15,NVIDIA/cuda-quantum
Backend-Library,0,4,2,Qiskit/qiskit-aer
Build/Deploy/Environment,0,18,0,Qiskit/qiskit-aer
Framework-Integration,1,2,2,Qiskit/qiskit-aer
High-Level-API / Framework-Logic,0,2,3,Qiskit/qiskit-aer
Runtime-/Framework-Runtime,0,0,3,Qiskit/qiskit-aer
